Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Order Item Count
20320607,Swaad,Sector 4,Delhi NCR,6169375019,"03:52 PM, September 10 2024",Delivered,Zomato Delivery,<1km,1 x Bone in Peri Peri Grilled Chicken,,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,,,,,14.05,12.2,Correctly,,f93362f5ce5382657482d164e368186bcec9c6225fd93d374453a2e6983151de,1
20320607,Swaad,Sector 4,Delhi NCR,6167255032,"10:54 PM, September 09 2024",Delivered,Zomato Delivery,2km,1 x Bone in Angara Grilled Chicken,,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,,,,,9.68,1.5,Correctly,,fa1710c1c41dd4f29b810b78f8e7c08a356ca0fdc3930713e020e1ed258ceb4e,1
20320607,Swaad,Sector 4,Delhi NCR,6163081676,"03:22 PM, September 09 2024",Delivered,Zomato Delivery,<1km,1 x Grilled Chicken Peri Peri Tangdi,,40% off upto Rs.80,405.0,16.25,80.0,0.0,0.0,0.0,341.25,,,,,,11.38,3.7,Correctly,,ac2ee09679412d4248884cdfd7637d9b3529eeac0e2f27a6c143a53bba064764,1
20320607,Swaad,Sector 4,Delhi NCR,6164758457,"10:03 PM, September 08 2024",Delivered,Zomato Delivery,6km,1 x Bone in Jamaican Grilled Chicken,,50% off upto Rs.100,370.0,13.5,100.0,0.0,0.0,0.0,283.5,,,,,,11.67,5.5,Correctly,,24d7ca74eb1efe217e88062d2519403ba11d62f5953186d71cfd3a02233275ab,1
20320607,Swaad,Sector 4,Delhi NCR,6159645418,"09:49 PM, September 08 2024",Delivered,Zomato Delivery,2km,1 x Bone in Jamaican Grilled Chicken,,40% off upto Rs.80,645.0,28.25,80.0,0.0,0.0,0.0,593.25,,,,,,14.27,5.9,Correctly,,e1248ba01f5b3ffbab3adde359bfc48adb924a123dd15daed0063f1c695e5c01,1
20320607,Swaad,Sector 4,Delhi NCR,6163201423,"07:48 PM, September 08 2024",Delivered,Zomato Delivery,3km,1 x Bone in Smoky Bbq Grilled Chicken,,50% off upto Rs.100,310.0,10.5,100.0,0.0,0.0,0.0,220.5,2.0,,,,,17.23,8.8,Correctly,,db8331544bffcb3d70e0a6eacf709657d5bc03f4eec32d293feb61c9fcad86b9,1
20320607,Swaad,Sector 4,Delhi NCR,6161956272,"07:48 PM, September 08 2024",Delivered,Zomato Delivery,4km,1 x Fried Chicken Peri Peri Tender,,40% off upto Rs.80,460.0,19.0,80.0,0.0,0.0,0.0,399.0,,,,,,16.83,12.1,Correctly,,8cc49e1c87db248d9bf994de02c7da0229cd3b46bb99002b299345a60d562a7a,1
20320607,Swaad,Sector 4,Delhi NCR,6163049565,"06:33 PM, September 08 2024",Delivered,Zomato Delivery,3km,1 x Bone in Angara Grilled Chicken,,40% off upto Rs.80,695.0,30.75,80.0,0.0,0.0,0.0,645.75,,,,,,18.05,11.1,Correctly,,7ecba12675df48b9b8c245c81a354abc2c6a4a8dd4d28be92f2b955fae0c8150,1
20320607,Swaad,Sector 4,Delhi NCR,6155177885,"03:23 PM, September 08 2024",Delivered,Zomato Delivery,5km,1 x Fried Chicken Peri Peri Tender,,40% off upto Rs.80,460.0,19.0,80.0,0.0,0.0,0.0,399.0,,,,,,14.97,5.6,Correctly,,e0501d56d905f021333ed64371ab8635f8be47ea516aaf8f2424da63793a6bc6,1
20320607,Swaad,Sector 4,Delhi NCR,6156719166,"02:55 AM, September 08 2024",Delivered,Zomato Delivery,3km,1 x Angara Aloo Tuk Tuki,,40% off upto Rs.80,218.0,6.9,80.0,0.0,0.0,0.0,144.9,,,,,,20.75,10.9,Correctly,,f9e9f7e806c4b5601873c0b9ff2eac2a45b4ab29d61572bd0c8eb8d3ec0487ce,1
20320607,Swaad,Sector 4,Delhi NCR,6152228975,"01:57 AM, September 08 2024",Delivered,Zomato Delivery,6km,1 x Grilled Chicken Smoky BBQ Tender,,50% off upto Rs.100,435.0,16.75,100.0,0.0,0.0,0.0,351.75,,,,,,9.42,1.4,Correctly,,65235b6b25a0daf7bb923d0ca8c76a58581c05ca5483bdeee3f88df77d6ffd36,1
20320607,Swaad,Sector 4,Delhi NCR,6157229636,"09:24 PM, September 07 2024",Delivered,Zomato Delivery,2km,1 x Grilled Chicken Smoky BBQ Tangdi,,50% off upto Rs.100,635.0,26.75,100.0,0.0,0.0,0.0,561.75,,,,,,12.38,1.6,Correctly,,bf3dbdf507a5e0b61ee60d981dc53f57fca7cb06d05f78794472587fc7f9093f,1
20320607,Swaad,Sector 4,Delhi NCR,6159249185,"12:43 PM, September 07 2024",Delivered,Zomato Delivery,4km,1 x Bone in Kabuli Grilled Chicken,,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,,,,,19.2,15.4,Correctly,,b85edd5052b39954b086319952ca2d76184ce8d424fe20fa549b9ade2b4e173f,1
20320607,Swaad,Sector 4,Delhi NCR,6159181202,"02:00 AM, September 07 2024",Delivered,Zomato Delivery,4km,1 x Bone in Peri Peri Grilled Chicken,,50% off upto Rs.100,585.0,24.25,100.0,0.0,0.0,0.0,509.25,,,,,,10.63,1.7,Correctly,,6f68ba8ce8a4c4b6b82a095980151c96ba4d59a02ac267ba67f7d19cec84d3c2,1
20320607,Swaad,Sector 4,Delhi NCR,6144978141,"11:25 PM, September 06 2024",Delivered,Zomato Delivery,4km,1 x Fried Chicken Peri Peri Tender,,Flat Rs.80 off,325.0,12.25,80.0,0.0,0.0,0.0,257.25,,,,,,13.05,1.8,Correctly,,693e71ee644f2badf452477f2be8483e5211592ae22cd49bf81a164b125af2b0,1
20320607,Swaad,Sector 4,Delhi NCR,6154147762,"11:39 AM, September 06 2024",Delivered,Zomato Delivery,1km,1 x Animal Fries,,50% off upto Rs.100,355.0,12.75,100.0,0.0,0.0,0.0,267.75,,,,,,17.73,11.5,Correctly,,81836124bc23518067df460ac476f26b1f0e3cda956fc9aee91f52c6f92a9114,1
20320607,Swaad,Sector 4,Delhi NCR,6150715172,"03:24 AM, September 06 2024",Delivered,Zomato Delivery,3km,1 x AAC Signature Krispers,,50% off upto Rs.100,199.0,4.98,99.5,0.0,0.0,0.0,104.48,,,,,,10.95,0.8,Correctly,,f9e9f7e806c4b5601873c0b9ff2eac2a45b4ab29d61572bd0c8eb8d3ec0487ce,1
20320607,Swaad,Sector 4,Delhi NCR,6155965734,"01:10 AM, September 06 2024",Delivered,Zomato Delivery,4km,1 x Animal Fries,,50% off upto Rs.100,355.0,12.75,100.0,0.0,0.0,0.0,267.75,,,,,,13.3,1.0,Correctly,,ebd60c19b0f492b7377b19d314ab1ecd690e365ce5744030851d2932feb4ade7,1
20320607,Swaad,Sector 4,Delhi NCR,6155526018,"12:48 AM, September 06 2024",Delivered,Zomato Delivery,7km,1 x Grilled Chicken Jamaican Tender,,50% off upto Rs.100,310.0,10.5,100.0,0.0,0.0,0.0,220.5,,,,,,7.87,1.2,Correctly,,9ae38c952fdef0c4c067098312f0be853006239e7f7a7304008d0b7ae47b0917,1
20320607,Swaad,Sector 4,Delhi NCR,6155319009,"10:57 PM, September 05 2024",Delivered,Zomato Delivery,3km,1 x Bone in Jamaican Grilled Chicken,,Flat Rs.175 off,755.0,29.0,175.0,0.0,0.0,0.0,609.0,,,,,,11.93,0.9,Correctly,,0a299b2d813b99f45018a6af6c423279b5a0cba30d8c7f3a3f0a69fdfae3c865,1
20320607,Swaad,Sector 4,Delhi NCR,6155343744,"08:56 PM, September 05 2024",Delivered,Zomato Delivery,1km,1 x Grilled Chicken Smoky BBQ Tender,,Flat Rs.80 off,435.0,17.75,80.0,0.0,0.0,0.0,372.75,,,,,,9.93,0.3,Correctly,,c521ccf21e7bb2207c3f08d578b6e028d2c3b25986cb35dd5930ede1d8a643da,1
20320607,Swaad,Sector 4,Delhi NCR,6151641967,"07:48 PM, September 05 2024",Delivered,Zomato Delivery,2km,1 x Fried Chicken Angara Tender,,50% off upto Rs.100,325.0,11.25,100.0,0.0,0.0,0.0,236.25,,,,,,13.63,1.4,Correctly,,bcfa051a96036fe2f67b8b7d0f27b37d983dede68aab0aeb2541811d09b0c859,1
20320607,Swaad,Sector 4,Delhi NCR,6152673880,"07:20 PM, September 05 2024",Delivered,Zomato Delivery,6km,1 x Fried Chicken Peri Peri Tender,,,629.0,31.45,0.0,0.0,0.0,0.0,660.45,4.0,,,,,19.0,0.5,Correctly,,6bd9d2a22ced3c8d3466c08c0570a30c671b1f8a837c51f788966332398a6a45,1
20320607,Swaad,Sector 4,Delhi NCR,6145690912,"02:14 AM, September 05 2024",Delivered,Zomato Delivery,7km,1 x Bone in Jamaican Grilled Chicken,,50% off upto Rs.100,585.0,24.25,100.0,0.0,0.0,0.0,509.25,,,,,,14.42,1.0,Correctly,,f3fc5884a2568a19739f9ac18b494e1c504694463152534c3cf99614585fafdd,1
