Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Cancellation / Rejection reason,Restaurant compensation (Cancellation),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20320607,Swaad,Sector 4,Delhi NCR,6158241703,2024-09-06 20:08:00,Delivered,Zomato Delivery,2.0,1 x Bone in Jamaican Grilled Chicken,50% off upto Rs.100,310.0,10.5,100.0,0.0,0.0,0.0,220.5,,,,8.83,14.3,Incorrectly,,61e7481fdb65a6580cd5520d12517ba4dd78ef3c7d4df2b6ff475d48075ea42c
20320607,Swaad,Sector 4,Delhi NCR,6150311284,2024-09-04 12:40:00,Delivered,Zomato Delivery,1.0,"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",,620.0,15.5,0.0,310.0,0.0,0.0,325.5,,,,16.03,10.1,Incorrectly,,ac2faca5090b2834e20b58c616d0815bc82dfca0bb1d71e9457472d0af29e490
20320607,Swaad,Sector 4,Delhi NCR,6146697877,2024-09-04 03:17:00,Delivered,Zomato Delivery,8.0,1 x Bone in Smoky Bbq Grilled Chicken,,310.0,15.5,0.0,0.0,0.0,0.0,325.5,,,,10.87,13.0,Incorrectly,,9c939891b70a31435e32b9a20bad40b4d51b02c9d6dd11459c5c5ae358afef03
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6163180170,2024-09-09 20:01:00,Delivered,Zomato Delivery,1.0,"1 x Angara Rice, 1 x Bone in Jamaican Grilled Chicken",,843.0,42.15,0.0,0.0,0.0,0.0,885.15,,,,2.2,11.6,Incorrectly,,8ff150bdf23cc34c875e6b5f73c5bde0e0e609d2164013782afae4ec706b8ede
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6151479415,2024-09-04 22:08:00,Delivered,Zomato Delivery,5.0,"1 x Animal Fries, 1 x Grilled Chicken Peri Peri Tangdi",,930.0,25.75,0.0,415.0,0.0,0.0,540.75,,,,18.32,19.9,Incorrectly,,e341eddc5f84ef58ce050407f4f8bc73f10837c2c128f3881be3daf33559abc2
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6150826612,2024-09-04 21:52:00,Delivered,Zomato Delivery,4.0,"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",,620.0,15.5,0.0,310.0,0.0,0.0,325.5,5.0,,,19.12,14.6,Incorrectly,,dd7269b3cd8fa0c14ed972882abade36ec159010285b438de2f3cd5e1a69af0c
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6151184755,2024-09-04 13:41:00,Delivered,Zomato Delivery,3.0,"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",,620.0,15.5,0.0,310.0,0.0,0.0,325.5,,,,19.18,12.2,Incorrectly,,23129bff67953bd7e947f45b048bc967e0948b46edded2816bcb309f8c9ee01e
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6143624024,2024-09-02 17:32:00,Delivered,Zomato Delivery,0.5,1 x Bone in Jamaican Grilled Chicken,Flat Rs.80 off,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,,,20.17,18.5,Incorrectly,,ddba540dd4dd112e42171bc077908f7cafb9bf1804f6fb23e32c81a609d75be0
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6170217857,2024-09-10 20:33:00,Delivered,Zomato Delivery,2.0,1 x Grilled Tangdis,50% off upto Rs.100,269.0,8.45,100.0,0.0,0.0,0.0,177.45,,,,14.27,12.4,Incorrectly,,643ca48aa7bb80d84d512e95fc3ff5f99d35ff7b9cd8e09977a49e1f9f44f68b
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6144923863,2024-09-01 21:38:00,Delivered,Zomato Delivery,4.0,"1 x Murgh Amritsari Garlic Bread, 1 x All About Chicken Pizza",Flat Rs.150 off,1148.0,51.8,112.0,0.0,0.0,0.0,1087.8,,,,15.18,10.7,Incorrectly,,a52744d052711544eb6f274ad257a4be6376d1b98cdc6b7740eca0851e1bd537
