Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Cancellation / Rejection reason,Restaurant compensation (Cancellation),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20320607,Swaad,Sector 4,Delhi NCR,6168884918,2024-09-10 23:38:00,Delivered,Zomato Delivery,3.0,"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",40% off upto Rs.80,715.0,31.75,80.0,0.0,0.0,0.0,666.75,,None,,18.35,11.6,Correctly,None,5d6c2b96db963098bc69768bea504c8bf46106a8a5178edf91a42e66a8179458
20320607,Swaad,Sector 4,Delhi NCR,6170707559,2024-09-10 23:34:00,Delivered,Zomato Delivery,2.0,"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",Flat Rs.175 off,1179.0,50.2,175.0,0.0,0.0,0.0,1054.2,,None,,16.95,3.6,Correctly,None,0781815deb4a10a574e9fee4fa0b86b074d4a0b36175d5a626dbc4710568bff4
20320607,Swaad,Sector 4,Delhi NCR,6169375019,2024-09-10 15:52:00,Delivered,Zomato Delivery,0.5,1 x Bone in Peri Peri Grilled Chicken,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,None,,14.05,12.2,Correctly,None,f93362f5ce5382657482d164e368186bcec9c6225fd93d374453a2e6983151de
20320607,Swaad,Sector 4,Delhi NCR,6151677434,2024-09-10 15:45:00,Delivered,Zomato Delivery,2.0,"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",40% off upto Rs.80,620.0,27.0,80.0,0.0,0.0,0.0,567.0,4.0,None,,19.0,3.3,Correctly,None,1ed226d1b8a5f7acee12fc1d6676558330a3b2b742af5d5c9d3ea550397d49ac
20320607,Swaad,Sector 4,Delhi NCR,6167540897,2024-09-10 15:04:00,Delivered,Zomato Delivery,2.0,"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",40% off upto Rs.80,584.0,25.2,80.0,0.0,0.0,0.0,529.2,,None,,15.97,1.0,Correctly,None,d21a2ac6ea06b31cc3288ab20c4ef2f292066c096f2c5f110a3098eeb39596d9
20320607,Swaad,Sector 4,Delhi NCR,6164725184,2024-09-10 12:28:00,Delivered,Zomato Delivery,1.0,"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken",40% off upto Rs.80,715.0,31.75,80.0,0.0,0.0,0.0,666.75,5.0,None,,20.48,1.0,Correctly,None,4103fd4f3ee2166d322e76fabd420ae15f14a2816ca5a3be43133260bb1327f4
20320607,Swaad,Sector 4,Delhi NCR,6151460444,2024-09-10 00:03:00,Delivered,Zomato Delivery,6.0,1 x Bone in Jamaican Grilled Chicken,40% off upto Rs.80,370.0,14.5,80.0,0.0,0.0,0.0,304.5,,None,,10.53,7.0,Incorrectly,None,24d7ca74eb1efe217e88062d2519403ba11d62f5953186d71cfd3a02233275ab
20320607,Swaad,Sector 4,Delhi NCR,6167255032,2024-09-09 22:54:00,Delivered,Zomato Delivery,2.0,1 x Bone in Angara Grilled Chicken,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,None,,9.68,1.5,Correctly,None,fa1710c1c41dd4f29b810b78f8e7c08a356ca0fdc3930713e020e1ed258ceb4e
20320607,Swaad,Sector 4,Delhi NCR,6167184688,2024-09-09 22:51:00,Delivered,Zomato Delivery,1.0,"1 x Fried Chicken Angara Tender, 1 x Angara Rice",40% off upto Rs.80,473.0,19.65,80.0,0.0,0.0,0.0,412.65,,None,,15.2,8.3,Correctly,None,c521ccf21e7bb2207c3f08d578b6e028d2c3b25986cb35dd5930ede1d8a643da
20320607,Swaad,Sector 4,Delhi NCR,6163081676,2024-09-09 15:22:00,Delivered,Zomato Delivery,0.5,1 x Grilled Chicken Peri Peri Tangdi,40% off upto Rs.80,405.0,16.25,80.0,0.0,0.0,0.0,341.25,,None,,11.38,3.7,Correctly,None,ac2ee09679412d4248884cdfd7637d9b3529eeac0e2f27a6c143a53bba064764
20320607,Swaad,Sector 4,Delhi NCR,6164758457,2024-09-08 22:03:00,Delivered,Zomato Delivery,6.0,1 x Bone in Jamaican Grilled Chicken,50% off upto Rs.100,370.0,13.5,100.0,0.0,0.0,0.0,283.5,,None,,11.67,5.5,Correctly,None,24d7ca74eb1efe217e88062d2519403ba11d62f5953186d71cfd3a02233275ab
20320607,Swaad,Sector 4,Delhi NCR,6159645418,2024-09-08 21:49:00,Delivered,Zomato Delivery,2.0,1 x Bone in Jamaican Grilled Chicken,40% off upto Rs.80,645.0,28.25,80.0,0.0,0.0,0.0,593.25,,None,,14.27,5.9,Correctly,None,e1248ba01f5b3ffbab3adde359bfc48adb924a123dd15daed0063f1c695e5c01
20320607,Swaad,Sector 4,Delhi NCR,6163201423,2024-09-08 19:48:00,Delivered,Zomato Delivery,3.0,1 x Bone in Smoky Bbq Grilled Chicken,50% off upto Rs.100,310.0,10.5,100.0,0.0,0.0,0.0,220.5,2.0,None,,17.23,8.8,Correctly,None,db8331544bffcb3d70e0a6eacf709657d5bc03f4eec32d293feb61c9fcad86b9
20320607,Swaad,Sector 4,Delhi NCR,6161956272,2024-09-08 19:48:00,Delivered,Zomato Delivery,4.0,1 x Fried Chicken Peri Peri Tender,40% off upto Rs.80,460.0,19.0,80.0,0.0,0.0,0.0,399.0,,None,,16.83,12.1,Correctly,None,8cc49e1c87db248d9bf994de02c7da0229cd3b46bb99002b299345a60d562a7a
20320607,Swaad,Sector 4,Delhi NCR,6153489136,2024-09-08 19:21:00,Delivered,Zomato Delivery,4.0,"2 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",,858.1,42.91,0.0,0.0,0.0,0.0,901.01,,None,,20.3,8.6,Correctly,None,a4fb8d5447830dfa482d20ce3a20bce637c3a956fba93cee95726869ddb39231
20320607,Swaad,Sector 4,Delhi NCR,6163049565,2024-09-08 18:33:00,Delivered,Zomato Delivery,3.0,1 x Bone in Angara Grilled Chicken,40% off upto Rs.80,695.0,30.75,80.0,0.0,0.0,0.0,645.75,,None,,18.05,11.1,Correctly,None,7ecba12675df48b9b8c245c81a354abc2c6a4a8dd4d28be92f2b955fae0c8150
20320607,Swaad,Sector 4,Delhi NCR,6155177885,2024-09-08 15:23:00,Delivered,Zomato Delivery,5.0,1 x Fried Chicken Peri Peri Tender,40% off upto Rs.80,460.0,19.0,80.0,0.0,0.0,0.0,399.0,,None,,14.97,5.6,Correctly,None,e0501d56d905f021333ed64371ab8635f8be47ea516aaf8f2424da63793a6bc6
20320607,Swaad,Sector 4,Delhi NCR,6156719166,2024-09-08 02:55:00,Delivered,Zomato Delivery,3.0,1 x Angara Aloo Tuk Tuki,40% off upto Rs.80,218.0,6.9,80.0,0.0,0.0,0.0,144.9,,None,,20.75,10.9,Correctly,None,f9e9f7e806c4b5601873c0b9ff2eac2a45b4ab29d61572bd0c8eb8d3ec0487ce
20320607,Swaad,Sector 4,Delhi NCR,6158533370,2024-09-08 02:23:00,Delivered,Zomato Delivery,4.0,1 x Grilled Chicken Peri Peri Tangdi,50% off upto Rs.100,405.0,15.25,100.0,0.0,0.0,0.0,320.25,,None,,10.8,3.2,Incorrectly,None,75386768d73d08a035ee5cbb91c59ed2f971d6f770eaf083420f7b3b8ed49ee9
20320607,Swaad,Sector 4,Delhi NCR,6152228975,2024-09-08 01:57:00,Delivered,Zomato Delivery,6.0,1 x Grilled Chicken Smoky BBQ Tender,50% off upto Rs.100,435.0,16.75,100.0,0.0,0.0,0.0,351.75,,None,,9.42,1.4,Correctly,None,65235b6b25a0daf7bb923d0ca8c76a58581c05ca5483bdeee3f88df77d6ffd36
20320607,Swaad,Sector 4,Delhi NCR,6157229636,2024-09-07 21:24:00,Delivered,Zomato Delivery,2.0,1 x Grilled Chicken Smoky BBQ Tangdi,50% off upto Rs.100,635.0,26.75,100.0,0.0,0.0,0.0,561.75,,None,,12.38,1.6,Correctly,None,bf3dbdf507a5e0b61ee60d981dc53f57fca7cb06d05f78794472587fc7f9093f
20320607,Swaad,Sector 4,Delhi NCR,6160420881,2024-09-07 20:35:00,Delivered,Zomato Delivery,2.0,1 x Bone in Jamaican Grilled Chicken,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,None,,,3.2,Missed,None,31e6e136219f784a75bb09e36e5ed588c332aa7ce3aef6d74c16f3e7560768de
20320607,Swaad,Sector 4,Delhi NCR,6158429833,2024-09-07 18:09:00,Delivered,Zomato Delivery,5.0,"1 x Animal Fries, 1 x Salted Fries",40% off upto Rs.80,524.0,22.2,80.0,0.0,0.0,0.0,466.2,4.0,None,,16.88,13.3,Correctly,None,49e49a6a003c4e24baf07ad57097ef267b67bd47b86120650a6376eb18299bbb
20320607,Swaad,Sector 4,Delhi NCR,6156152215,2024-09-07 16:00:00,Delivered,Zomato Delivery,2.0,"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Angara Tender",Flat Rs.175 off,910.0,36.75,175.0,0.0,0.0,0.0,771.75,,None,,19.82,0.7,Correctly,None,80650c4426a3fc8d969e8b43126bc197f68b301ca14e037644fc2c5218707d6b
20320607,Swaad,Sector 4,Delhi NCR,6159249185,2024-09-07 12:43:00,Delivered,Zomato Delivery,4.0,1 x Bone in Kabuli Grilled Chicken,40% off upto Rs.80,310.0,11.5,80.0,0.0,0.0,0.0,241.5,,None,,19.2,15.4,Correctly,None,b85edd5052b39954b086319952ca2d76184ce8d424fe20fa549b9ade2b4e173f
20320607,Swaad,Sector 4,Delhi NCR,6159181202,2024-09-07 02:00:00,Delivered,Zomato Delivery,4.0,1 x Bone in Peri Peri Grilled Chicken,50% off upto Rs.100,585.0,24.25,100.0,0.0,0.0,0.0,509.25,,None,,10.63,1.7,Correctly,None,6f68ba8ce8a4c4b6b82a095980151c96ba4d59a02ac267ba67f7d19cec84d3c2
20320607,Swaad,Sector 4,Delhi NCR,6158034744,2024-09-07 00:58:00,Delivered,Zomato Delivery,1.0,1 x Fried Chicken Peri Peri Tender,Flat Rs.80 off,325.0,12.25,80.0,0.0,0.0,0.0,257.25,,None,,7.77,5.4,Incorrectly,None,432e8f108fb6faf72c98a5d5299f6a52d58e948f9d6b0c8aef39b3b4976d2dc4
